movieId,genre
1,Animation
1,Comedy
1,Family
2,Adventure
2,Fantasy
2,Family
3,Romance
3,Comedy
4,Comedy
4,Drama
4,Romance
5,Comedy
6,Action
6,Crime
6,Drama
6,Thriller
7,Comedy
7,Romance
8,Action
8,Adventure
8,Drama
8,Family
9,Action
9,Adventure
9,Thriller
10,Adventure
10,Action
10,Thriller
11,Comedy
11,Drama
11,Romance
12,Comedy
12,Horror
13,Family
13,Animation
13,Adventure
14,History
14,Drama
15,Action
15,Adventure
16,Drama
16,Crime
17,Drama
17,Romance
18,Crime
18,Comedy
19,Crime
19,Comedy
19,Adventure
20,Action
20,Comedy
20,Crime
21,Comedy
21,Thriller
21,Crime
22,Drama
22,Thriller
23,Action
23,Adventure
23,Crime
23,Thriller
24,Drama
24,Fantasy
24,ScienceFiction
24,Thriller
25,Drama
25,Romance
26,Drama
27,Comedy
27,Drama
27,Family
28,Drama
28,Romance
29,Fantasy
29,ScienceFiction
29,Adventure
30,Drama
30,Crime
31,Drama
31,Crime
32,ScienceFiction
32,Thriller
32,Mystery
34,Fantasy
34,Drama
34,Comedy
34,Family
35,History
35,Drama
35,Romance
36,Drama
37,Adventure
37,History
37,Drama
37,Family
38,Comedy
38,Family
38,Romance
39,Comedy
39,Drama
39,Romance
40,Drama
41,Drama
41,War
42,Action
42,Crime
42,Drama
42,History
43,Drama
43,Romance
44,Action
44,Fantasy
45,Fantasy
45,Drama
45,Comedy
45,Thriller
46,Drama
46,Romance
47,Crime
47,Mystery
47,Thriller
48,Adventure
48,Animation
48,Drama
48,Family
49,Drama
49,Romance
50,Drama
50,Crime
50,Thriller
52,Comedy
52,Romance
53,Drama
53,Foreign
54,Action
54,Adventure
54,Comedy
54,Family
55,Drama
57,Comedy
57,Drama
57,Romance
58,Comedy
58,Drama
58,Romance
59,Thriller
59,Drama
59,Mystery
60,Adventure
60,Family
60,Fantasy
61,Drama
61,Thriller
62,Music
62,Drama
62,Family
63,Comedy
64,Comedy
64,Romance
65,Comedy
66,Action
66,ScienceFiction
68,Comedy
68,Romance
69,Comedy
70,Horror
70,Action
70,Thriller
70,Crime
71,Action
71,Thriller
71,Romance
72,Comedy
72,Drama
72,Romance
73,Drama
73,History
74,Drama
74,Romance
76,Horror
76,ScienceFiction
77,Documentary
78,Drama
78,Thriller
79,Drama
79,Thriller
80,Family
80,Drama
81,Drama
81,Crime
82,Drama
82,Comedy
83,Romance
83,Drama
85,Drama
85,Romance
86,Action
86,Drama
87,Adventure
87,Comedy
87,Family
88,Comedy
89,Crime
89,Drama
89,Thriller
92,Drama
92,Horror
92,Thriller
92,Romance
93,Comedy
93,Horror
93,Romance
94,Comedy
94,Drama
94,Romance
95,Action
95,Adventure
95,Drama
95,Thriller
96,Comedy
97,Drama
98,Action
98,Adventure
98,Drama
98,ScienceFiction
98,Thriller
99,Documentary
100,Drama
100,Thriller
101,Comedy
101,Crime
101,Drama
102,Comedy
102,Romance
103,Drama
103,Mystery
103,ScienceFiction
103,Thriller
104,Comedy
105,Drama
105,Romance
107,Action
107,Comedy
107,Music
107,Family
107,Adventure
108,Documentary
110,Action
110,Drama
110,History
110,War
111,Crime
111,Drama
112,Crime
112,Action
112,Comedy
112,Thriller
113,Drama
113,Thriller
114,Drama
116,Documentary
116,Drama
116,Foreign
117,Comedy
117,Crime
117,Drama
118,Comedy
118,Romance
119,Comedy
119,Drama
121,Drama
122,Comedy
122,Romance
123,Drama
123,Comedy
123,Romance
124,Drama
124,Romance
125,Comedy
125,Romance
126,Fantasy
129,Comedy
129,Romance
130,Comedy
130,Drama
131,Drama
131,Romance
131,War
132,Action
132,Thriller
132,Mystery
132,Romance
135,Comedy
137,Comedy
140,Drama
140,Romance
141,Comedy
144,Comedy
144,Drama
144,Romance
145,Action
